metricName,displayNameVi,unit,minValue,maxValue,attentionMin,attentionMax,gender,minAge,maxAge,aliases,sourceUrl,sourceTitle,sourcePublisher,accessedDate,rangeType,reviewerNote,conversionNote,methodSpecimenNote
RBC,Hong cau,10^12/L,4.35,5.65,3.8,6.2,male,18,,RBC|Red blood cell|Erythrocyte|Hong cau|Hồng cầu|HC,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult male public laboratory interval; app fallback only,,Whole blood EDTA
RBC,Hong cau,10^12/L,3.92,5.13,3.5,5.8,female,18,,RBC|Red blood cell|Erythrocyte|Hong cau|Hồng cầu|HC,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult female public laboratory interval; app fallback only,,Whole blood EDTA
Hematocrit,Hematocrit,%,40,52,30,60,male,18,,Hematocrit|HCT|Hct|PCV|Dung tich hong cau|Thể tích hồng cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult male public laboratory interval; app fallback only,,Whole blood EDTA
Hematocrit,Hematocrit,%,35,47,28,55,female,18,,Hematocrit|HCT|Hct|PCV|Dung tich hong cau|Thể tích hồng cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult female public laboratory interval; app fallback only,,Whole blood EDTA
Platelet,Tieu cau,10^9/L,150,400,50,600,,18,,Platelet|PLT|Platelets|Tieu cau|Tiểu cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
MCV,The tich hong cau trung binh,fL,80,100,70,110,,18,,MCV|Mean corpuscular volume|The tich hong cau trung binh|Thể tích hồng cầu trung bình,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
MCH,Luong Hb trung binh hong cau,pg,27,33,22,38,,18,,MCH|Mean corpuscular hemoglobin|Luong Hb trung binh hong cau|Lượng Hb trung bình hồng cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
MCHC,Nong do Hb trung binh hong cau,g/dL,32,36,28,39,,18,,MCHC|Mean corpuscular hemoglobin concentration|Nong do Hb trung binh hong cau|Nồng độ Hb trung bình hồng cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
RDW,Do phan bo hong cau,%,9.0,14.5,8.0,18.0,,18,,RDW|RDW-CV|Red cell distribution width|Do phan bo hong cau|Độ phân bố hồng cầu,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
Neutrophils,Bach cau trung tinh,%,40,70,20,85,,18,,Neutrophils|NEU|NEUT|Neut|Bach cau trung tinh|Bạch cầu trung tính,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Normal and Abnormal Complete Blood Count With Differential,NCBI Bookshelf,2026-05-23,reference_interval,Adult differential percentage interval; absolute count should be modeled separately when needed,,Whole blood differential
Lymphocytes,Bach cau lympho,%,20,45,10,60,,18,,Lymphocytes|LYM|LYMPH|Lymph|Bach cau lympho|Bạch cầu lympho,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Normal and Abnormal Complete Blood Count With Differential,NCBI Bookshelf,2026-05-23,reference_interval,Adult differential percentage interval; absolute count should be modeled separately when needed,,Whole blood differential
Monocytes,Bach cau mono,%,2,8,0,15,,18,,Monocytes|MONO|Monocyte|Bach cau mono|Bạch cầu mono,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Normal and Abnormal Complete Blood Count With Differential,NCBI Bookshelf,2026-05-23,reference_interval,Adult differential percentage interval; absolute count should be modeled separately when needed,,Whole blood differential
Eosinophils,Bach cau ai toan,%,1,4,0,10,,18,,Eosinophils|EOS|EO|Eosinophil|Bach cau ai toan|Bạch cầu ái toan,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Normal and Abnormal Complete Blood Count With Differential,NCBI Bookshelf,2026-05-23,reference_interval,Adult differential percentage interval; absolute count should be modeled separately when needed,,Whole blood differential
Basophils,Bach cau ai kiem,%,0,1,0,3,,18,,Basophils|BASO|BAS|Basophil|Bach cau ai kiem|Bạch cầu ái kiềm,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Normal and Abnormal Complete Blood Count With Differential,NCBI Bookshelf,2026-05-23,reference_interval,Adult differential percentage interval; absolute count should be modeled separately when needed,,Whole blood differential
AST,AST,U/L,8,48,0,200,,18,,AST|GOT|SGOT|Aspartate aminotransferase|Men gan AST,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,Liver function tests,Mayo Clinic,2026-05-23,reference_interval,Typical adult liver function test range; app fallback only,,Serum
ALT,ALT,U/L,7,55,0,200,,18,,ALT|GPT|SGPT|Alanine aminotransferase|Men gan ALT,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,Liver function tests,Mayo Clinic,2026-05-23,reference_interval,Typical adult liver function test range; app fallback only,,Serum
ALP,ALP,U/L,40,129,20,300,,18,,ALP|Alkaline phosphatase|Phosphatase kiem|Phosphatase kiềm,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,Liver function tests,Mayo Clinic,2026-05-23,reference_interval,Typical adult liver function test range; app fallback only,,Serum
GGT,GGT,U/L,8,61,0,200,,18,,GGT|Gamma glutamyl transferase|Gamma GT,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,Liver function tests,Mayo Clinic,2026-05-23,reference_interval,Typical adult liver function test range; app fallback only,,Serum
Bilirubin Total,Bilirubin toan phan,mg/dL,0.1,1.2,0,3.0,,18,,Bilirubin Total|Total bilirubin|Bilirubin TP|Bilirubin toan phan|Bilirubin toàn phần,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP bilirubin interval; app fallback only,,Serum
Bilirubin Direct,Bilirubin truc tiep,mg/dL,0,0.3,0,1.5,,18,,Bilirubin Direct|Direct bilirubin|Bilirubin TT|Bilirubin truc tiep|Bilirubin trực tiếp,https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,Liver function tests,Mayo Clinic,2026-05-23,reference_interval,Typical direct bilirubin interval; app fallback only,,Serum
Albumin,Albumin,g/dL,3.4,5.4,2.5,6.0,,18,,Albumin|Alb,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP albumin interval; app fallback only,,Serum
Total Protein,Protein toan phan,g/dL,6.0,8.3,5.0,9.5,,18,,Total Protein|Protein total|TP|Protein toan phan|Protein toàn phần,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP total protein interval; app fallback only,,Serum
Creatinine,Creatinine,mg/dL,0.74,1.35,0.5,2.0,male,18,,Creatinine|Creatinin|CRE|Cr,https://medlineplus.gov/lab-tests/creatinine-test/,Creatinine Test,MedlinePlus,2026-05-23,reference_interval,Adult male serum creatinine interval; source notes ranges vary by lab,,Serum
Creatinine,Creatinine,mg/dL,0.59,1.04,0.4,1.8,female,18,,Creatinine|Creatinin|CRE|Cr,https://medlineplus.gov/lab-tests/creatinine-test/,Creatinine Test,MedlinePlus,2026-05-23,reference_interval,Adult female serum creatinine interval; source notes ranges vary by lab,,Serum
BUN,BUN,mg/dL,6,20,3,40,,18,,BUN|Blood urea nitrogen|Urea nitrogen|Ure nitrogen,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP BUN interval; app fallback only,,Serum
Urea,Ure,mmol/L,2.1,7.1,1.0,14.0,,18,,Urea|Ure|Urê,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,BUN interval represented in SI-style urea context for Vietnamese lab sheets,Approximate mmol/L nitrogen-equivalent interval from public BUN range; verify local lab method before production,Serum
Sodium,Natri,mmol/L,135,145,125,155,,18,,Sodium|Na|Na+|Natri,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP sodium interval; app fallback only,,Serum
Potassium,Kali,mmol/L,3.5,5.0,2.8,6.0,,18,,Potassium|K|K+|Kali,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP potassium interval; app fallback only,,Serum
Chloride,Clorua,mmol/L,98,107,90,115,,18,,Chloride|Cl|Cl-|Clorua|Chlorua,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP chloride interval; app fallback only,,Serum
Calcium,Calci,mg/dL,8.5,10.5,7.5,12.5,,18,,Calcium|Ca|Ca++|Calci,https://medlineplus.gov/ency/article/003468.htm,Comprehensive metabolic panel,MedlinePlus,2026-05-23,reference_interval,Adult CMP calcium interval; app fallback only,,Serum
CRP,CRP,mg/L,0,10,0,100,,18,,CRP|C-Reactive Protein|C reactive protein|Protein C phan ung|Protein C phản ứng,https://www.mayocliniclabs.com/test-catalog/download-setup?format=pdf&unit_code=800164,Test Definition CRP,Mayo Clinic Laboratories,2026-05-23,lab_specific_interval,Public lab CRP reference value; lower bound is physiological floor,,Serum
